HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V (culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius,Mass
33737,291.4369363,-26.25275884,,Mensa,K,5,0.908,6.27,0.35,10.11,4804,0.945,0.78
38259,292.4968548,-24.24927088,,Chamaeleon,G,5,0.674,3.9,2.53,8.67,5907.1,1.553,1.07
39255,292.1909926,-23.61061223,,Chamaeleon,F,5,0.631,2.9,6.37,9.3,6215,2.885,1.2
37855,291.9049185,-24.2819465,,Chamaeleon,G,5,0.6,4.39,1.59,8.9,6085,1.148,1.14
40415,292.0971544,-22.90741219,,Chamaeleon,A,5,-0.019,0.94,44.06,7.03,10430,2.339,2.69
42794,292.5508527,-21.63184437,9 Chamaelontis,Chamaeleon,A,5,0.229,1.21,27.16,6.05,7444,3.226,1.71
42212,291.8374389,-21.61467623,,Chamaeleon,F,5,0.437,3.19,4.47,8.42,6715,1.553,1.43
43025,292.4390818,-21.40469517,,Chamaeleon,G,4,0.595,3.47,3.68,9.08,6242,1.718,1.21
43423,291.8499251,-20.75906469,,Chamaeleon,F,4,0.464,2.54,8.25,9.41,6953,2.699,1.52
41048,291.6464979,-22.2961746,,Chamaeleon,G,4,0.833,4.31,1.99,9.33,5294,1.481,0.91
41453,290.8724073,-21.63741792,,Chamaeleon,A,5,0.197,1.01,32.65,8.39,8107,2.996,1.97
38991,291.2591928,-23.40818285,,Chamaeleon,F,,0.389,3,5.64,9.39,6738.4,2.698,1.44
37372,290.4838027,-24.12482085,,Chamaeleon,A,5,0.186,1.76,16.53,6.64,7973,2.033,1.92
37857,290.3472499,-23.79981194,,Chamaeleon,A,,0.293,1.39,23.05,8.92,7962,2.684,1.92
37284,290.354212,-24.13835154,,Chamaeleon,K,5,1.006,6.68,0.26,9.37,4818.1,0.775,0.78
40702,289.8601505,-21.68168051,Alpha Chamaelontis,Chamaeleon,F,5,0.413,2.59,7.72,4.05,6736,1.935,1.44
41871,290.2708186,-21.00488273,,Chamaeleon,G,5,0.607,4.7,1.25,7.58,5842.1,1.01,1.05
41580,289.5723333,-20.86731512,,Chamaeleon,F,4,0.491,3.05,5.19,9.47,6500,2.76,1.33
41070,289.5187563,-21.23545472,,Chamaeleon,A,5,0.026,0.94,39.53,7.25,10233,2.382,2.63
40555,289.3415179,-21.54124911,,Chamaeleon,F,5,0.574,4.04,2.16,8.39,6220.7,1.265,1.2
28440,292.4555403,-28.8171653,,Mensa,F,5,0.463,2.43,9.09,9.33,6766,1.837,1.45
